1661,3,1,2
1696,3,1,2
397,0,1,2
556,14,1,2
1155,-11,1,2
894,-1,1,2
-409,3,0,2
335,14,1,0
1446,-3,1,0
-422,12,0,0
872,7,1,0
-603,-8,0,0
-783,-17,0,2
273,-3,0,2
-789,0,0,0
659,-3,1,2
-154,-13,0,2
-6,-5,0,2
922,2,1,2
939,5,1,0
108,7,0,0
996,9,1,2
1654,-3,1,2
-854,5,0,2
-940,19,0,2
409,16,1,0
-294,-18,0,2
-110,20,0,0
1275,9,1,2
105,10,0,2
62,-11,0,2
775,-16,1,2
1331,6,1,2
1569,-8,1,2
1042,-22,1,2
634,8,1,2
164,-16,0,2
1529,-22,1,2
1701,-9,1,0
772,9,1,2
1490,-6,1,2
1731,13,1,2
-228,-10,0,2
1775,9,1,2
928,-14,1,2
1152,17,1,0
-575,13,0,2
-713,5,0,2
-1028,2,0,2
819,-8,1,2
1089,-13,1,2
497,-23,1,2
1506,13,1,0
692,15,1,0
-930,14,0,2
586,4,1,0
408,6,1,2
1546,-3,1,2
-544,5,0,2
12,1,0,2
1568,-4,1,2
948,-7,1,2
-523,9,0,2
-858,5,0,0
-975,-3,0,2
-463,-1,0,2
-65,-9,0,2
-272,14,0,0
79,12,0,0
214,-12,0,2
-1030,-20,0,2
1034,-7,1,2
-378,-1,0,0
358,-14,1,2
-756,33,0,2
381,-11,1,2
1086,1,1,2
370,21,1,2
1032,-23,1,2
-737,-6,0,2
1436,-21,1,2
845,11,1,2
1501,7,1,2
-413,22,0,2
1183,6,1,0
1199,12,1,2
797,10,1,0
239,-2,0,2
1528,-7,1,2
1377,7,1,0
687,17,1,2
906,-1,1,2
368,-14,1,2
-844,-10,0,2
491,-4,1,0
-868,-5,0,2
72,15,0,0
246,0,0,0
-250,7,0,2
683,-5,1,2
-761,35,0,0
183,12,0,0
-530,11,0,2
15,-17,0,2
-1004,-8,0,2
1065,4,1,0
1015,-16,1,2
131,-7,0,2
38,-6,0,2
-757,3,0,2
1413,-13,1,2
1593,0,1,0
1144,19,1,0
1312,-6,1,2
-1013,-1,0,2
1784,16,1,2
1002,19,1,2
168,10,0,0
674,19,1,2
-1016,-14,0,2
204,-16,0,2
-827,7,0,2
1658,-9,1,2
793,-5,1,0
994,-20,1,2
912,7,1,0
-910,-20,0,2
-877,-6,0,0
-700,-2,0,2
1272,0,1,2
1617,-4,1,2
1417,-12,1,2
-799,6,0,2
701,1,1,2
-559,6,0,2
-736,-1,0,0
1552,10,1,2
-369,-12,0,2
1180,-22,1,2
1689,9,1,0
1601,21,1,2
546,-11,1,2
1061,-21,1,2
152,6,0,0
-978,29,0,2
-21,-9,0,2
-183,-19,0,2
-947,-6,0,2
-95,25,0,2
-196,4,0,2
-18,6,0,2
182,-3,0,2
-372,-5,0,2
958,-17,1,2
697,14,1,0
10,11,0,2
388,-14,1,2
1478,25,1,2
75,-2,0,2
510,6,1,2
1323,22,1,2
696,-12,1,2
1664,5,1,2
1730,-10,1,2
222,6,0,0
297,-3,0,2
563,0,1,2
-1017,7,0,2
732,-25,1,2
1534,20,1,2
-753,-9,0,2
-185,-9,0,2
1786,12,1,0
1406,-7,1,2
-524,-9,0,0
699,-14,1,2
1047,-16,1,2
1471,-4,1,2
-50,-26,0,2
1297,1,1,2
-93,4,0,0
-883,4,0,2
1585,-6,1,2
904,1,1,0
932,0,1,0
1010,-3,1,2
-586,2,0,2
-650,16,0,2
1822,-4,1,2
-932,10,0,0
-466,-3,0,2
-420,-13,0,2
1514,2,1,2
-800,9,0,2
-692,-1,0,2
170,-14,0,2
1816,-2,1,2
1550,6,1,0
-617,6,0,0
1118,-13,1,2
1347,-11,1,2
-257,-18,0,2
739,14,1,0
704,3,1,2
1469,-2,1,2
-609,-18,0,2
-709,6,0,0
1265,2,1,2
341,18,1,0
1594,-27,1,2
-398,5,0,2
316,0,1,0
-479,-3,0,2
1711,20,1,2
-746,15,0,0
1586,4,1,0
1048,10,1,2
-74,2,0,2
-933,10,0,2
706,-12,1,2
176,-7,0,2
8,24,0,2
1503,43,1,2
-156,10,0,2
-607,12,0,2
641,-19,1,2
630,12,1,2
-309,30,0,2
1051,27,1,2
-153,25,0,2
1522,3,1,2
-695,2,0,2
-418,-12,0,2
-919,-5,0,2
1652,-5,1,0
799,19,1,2
-258,0,0,2
-111,4,0,0
-874,7,0,0
-870,-14,0,2
1205,1,1,0
143,-2,0,2
836,-10,1,2
-820,-22,0,2
-120,0,0,2
258,13,0,2
573,20,1,0
-51,-7,0,2
304,8,0,0
-487,5,0,2
-898,2,0,0
1339,3,1,2
-243,16,0,2
835,-18,1,2
738,13,1,2
1001,2,1,0
-842,-17,0,2
-234,-8,0,2
9,7,0,2
267,11,0,2
-516,-2,0,2
1800,12,1,2
662,-27,1,2
-561,27,0,2
1313,-11,1,2
724,6,1,0
427,-24,1,2
360,24,1,0
-25,-3,0,2
461,-4,1,0
1618,21,1,0
70,-24,0,2
1024,24,1,2
325,-12,1,2
